tracklet_id,video_id,pose_motion_energy,joint_angle_var,accel_mean,bbox_scale_var,flag_reflection,velocity_mean,limb_amplitude,flag_camera_motion,trajectory_curvature,velocity_max
88,test,17.98,0.05605048707057235,1.5672995,0.0,0,2.7591207,123.3,0,1.1382724619698397,7.905694
89,test,12.76,0.09547803367282515,0.8513263,0.0,0,2.7276464,73.75,0,1.1058972195735546,4.527693
90,test,17.92,0.05552364120016288,1.6676487,0.0,0,2.918699,123.1,0,1.262519341161542,7.905694
91,test,12.7,0.05316004596632072,0.78195715,0.0,0,2.6785426,75.94,0,1.0360792098421723,4.527693
92,test,17.64,0.05477858936212393,1.8008424,0.0,0,2.8167684,122.3,0,1.2569071474559093,7.905694
93,test,13.38,0.030419675120491117,0.7499786,0.0,0,2.6775167,77.75,0,1.0196775898110766,4.527693
94,test,18.16,0.05485137503504366,1.9429939,0.0,0,2.9834352,121.6,0,1.4221172559971795,7.905694
95,test,13.81,0.009657864954038343,0.6710862,0.0,0,2.6049774,79.4,0,1.0181457816501742,4.527693
96,test,19.86,0.05531812193014042,2.0425973,0.0,0,2.9834352,120.25,0,1.5293523616900906,7.905694
97,test,14.06,0.0030518222547387423,0.6120612,0.0,0,2.4598312,80.25,0,1.0249296817212459,4.527693
98,test,20.9,0.05134002911478354,2.0938108,0.0,0,2.9501016,118.4,0,1.643460438983598,7.905694
99,test,14.35,0.0030935364525304,0.6084286,0.0,0,2.3044612,80.4,0,1.097224264148352,4.527693
100,test,23.66,0.05096914077849561,2.2396238,0.0,0,3.0585797,115.6,0,1.9161919880954048,7.905694
101,test,15.16,0.005642204096554091,0.56116575,0.0,0,2.201455,80.44,0,1.1187413774489103,4.527693
102,test,26.89,0.04757862098850326,2.2944295,0.0,0,3.3642988,113.7,1,2.6888112086278544,7.905694
103,test,15.91,0.00530419271598759,0.7957531,0.0,0,2.3093452,80.56,1,1.1228051805474923,5.153882
104,test,27.36,0.04480522868347135,2.2662566,0.0,0,3.4589243,112.5,1,4.449004610210119,7.905694
105,test,17.0,0.004301231692836892,1.0460354,0.0,0,2.624175,81.1,1,1.1073177956855942,8.877641
106,test,28.06,0.04249693345193572,2.3868384,0.0,0,3.5206716,111.44,1,6.5502827905386365,7.905694
107,test,17.16,0.004124172026706843,1.0738672,0.0,0,2.8424103,81.94,1,1.0982099352730936,8.877641
108,test,26.36,0.0423886416391425,2.216414,0.0,0,3.5832345,110.6,1,5.7214897358939245,7.905694
109,test,17.88,0.0038316954002662468,1.1014674,0.0,0,3.0247061,82.44,1,1.0884393289403473,8.877641
110,test,26.27,0.03835673622740338,2.2029378,0.0,0,3.489354,109.4,0,5.603424610297877,7.905694
111,test,17.97,0.003135284044912825,1.1214417,0.0,0,3.2863464,83.2,0,1.0780450674185658,8.877641
112,test,26.27,0.03405327714607177,2.231002,0.0,0,3.2503018,107.75,0,3.462647965002532,7.905694
113,test,18.31,0.005129082872310587,1.4411309,0.0,0,3.3580258,83.7,0,1.0829172616274854,8.877641
114,test,27.2,0.024526976789536324,1.9534358,0.0,0,3.0765982,105.25,0,2.516696727708715,7.905694
115,test,18.5,0.005069192258185588,1.5228306,0.0,0,3.3286598,84.06,0,1.085011990727131,8.877641
116,test,25.53,0.016151694289843817,1.5016816,0.0,0,2.6162186,103.5,1,1.5365907602872513,6.0
117,test,18.47,0.005087562480431445,1.5376776,0.0,0,3.2986474,84.06,1,1.0823643754273944,8.877641
118,test,27.84,0.02046326361105976,1.3999695,0.0,0,2.6309943,102.5,0,1.4507591102278086,6.0
119,test,18.52,0.005293626523724583,1.5483854,0.0,0,3.271987,83.1,0,1.0885216067876795,8.877641
120,test,30.42,0.021687362842468666,1.2715406,0.0,0,2.4104688,100.6,0,1.3011093781255547,6.0
121,test,18.92,0.005309371265094521,1.5126711,0.0,0,3.261993,81.94,0,1.125122516365859,8.877641
122,test,31.2,0.022821514731105857,1.1434767,0.0,0,2.4633284,99.9,0,1.290347284037459,6.0
